PMEATO,variable,value
NATO1,HSR1,0.391837952882824
NATO2,HSR1,0.531584274798268
NATO3,HSR1,0.518185985561644
NATO4,HSR1,-0.050538638908695
NATO1,HSR2,0.239475095165347
NATO2,HSR2,0.448103584618957
NATO3,HSR2,0.533174466659039
NATO4,HSR2,0.058589403411338
NATO1,HSR3,0.443968270003394
NATO2,HSR3,0.53722877426147
NATO3,HSR3,0.516290560794744
NATO4,HSR3,-0.0478509346381855
NATO1,HSR4,0.343993516198561
NATO2,HSR4,0.465706694600737
NATO3,HSR4,0.477896320929455
NATO4,HSR4,0.3635273845772
NATO1,HSR5,0.217707598196857
NATO2,HSR5,0.449376382467397
NATO3,HSR5,0.57354634894073
NATO4,HSR5,-0.0574782273557621
NATO1,HSR6,0.265767542223817
NATO2,HSR6,0.56256624017584
NATO3,HSR6,0.636863942427184
NATO4,HSR6,-0.0555739639706674
NATO1,HSR7,0.30981067075178
NATO2,HSR7,0.561757814691525
NATO3,HSR7,0.67031599326757
NATO4,HSR7,-0.113803931128883
NATO1,HSR8,0.321516014476162
NATO2,HSR8,0.532589415281018
NATO3,HSR8,0.620366394105178
NATO4,HSR8,-0.0408438612162564
NATO1,HSR9,0.262201798929191
NATO2,HSR9,0.570366250593042
NATO3,HSR9,0.636510258251574
NATO4,HSR9,-0.0781258358208441
NATO1,HSR10,0.352926585503734
NATO2,HSR10,0.661916013488385
NATO3,HSR10,0.660155935883979
NATO4,HSR10,0.120440710528958
NATO1,HSR11,0.166938851580853
NATO2,HSR11,0.288499538810226
NATO3,HSR11,0.439625932215536
NATO4,HSR11,0.183400870121414
NATO1,HSR12,0.37032549308261
NATO2,HSR12,0.610126274314208
NATO3,HSR12,0.604005615076037
NATO4,HSR12,0.0663684080936562
NATO1,TP_Moun1,0.340214281806235
NATO2,TP_Moun1,0.674546861446673
NATO3,TP_Moun1,0.701424518635118
NATO4,TP_Moun1,-0.163435186655404
NATO1,TP_Moun2,0.204869725297212
NATO2,TP_Moun2,0.528661423308054
NATO3,TP_Moun2,0.655860890865338
NATO4,TP_Moun2,-0.0527035135381548
