SSP245,SSP585
59.3284096791629,70.6156493081712
61.1622872634839,63.686393452075
67.114687979297,59.6547888675065
57.2869566271618,61.4952442179397
60.4496452509027,64.0693211754196
56.1555909455035,45.9860596043544
56.3148934904252,49.2651961279003
60.7955575020776,50.1346740662355
53.9645495697667,54.0469371516481
48.2822908503913,47.8518631119227
62.5413766167516,55.944094748099
53.8111789806491,59.6228982519734
52.2206023125588,55.1073096723128
53.2830061128835,57.5796508073662
53.0217236018588,53.0441095199374
49.7050069361926,44.318117027053
47.1398862532853,48.4591721536349
42.3748649528558,56.7758069796194
51.9676024211176,54.0918159731857
47.9169352896648,56.9591819457863
53.9731259093106,51.9987351265083
55.1162250443048,51.4601939825645
52.9580124636381,50.7079268459166
46.6967594982194,53.3400259373832
43.5577477792834,57.0341285057502
45.9066281206742,58.2300085638289
41.8214640126977,48.0574789340559
42.62258730861,51.4280563454461
43.7608755475537,54.6844919975871
37.5048462110872,46.8883294520593
38.1617700889678,49.7806663532961
51.367625151673,49.3512792096714
43.1483670871672,46.9906705297221
38.2098473923929,40.8717138323935
40.8360619663974,44.666328986919
32.7873180621043,41.680843127739
41.1788178021197,42.826397597315
44.3330572281831,43.396851644656
35.732433518068,41.6398357403091
35.1266559073505,37.9614524501249
39.0308559914497,34.9280450453317
36.3005144036487,46.4846516543715
32.1870237856808,38.8228217040695
29.576899483172,34.5833520134822
40.3082325807439,38.2271319863201
32.2017965598902,31.943515268225
19.1329037833659,34.5136535364129
26.7281916780167,39.0442293085034
27.9530996536986,27.6207961061764
36.2925156517358,31.0612618791234
36.1117546622663,30.4696418338472
29.3507080398217,41.3468056039807
21.1043646133188,36.323834381849
16.6350599317701,31.0862323987094
28.8199107439938,30.0447176354714
36.0062531418172,27.854038555451
31.2188623896069,25.3768114111218
27.2715059680653,22.1817653769331
32.4496367826137,11.509042634053
28.9678947056109,25.0517856694725
24.4898601964369,24.8214008344186
27.6997583654372,29.0020673855454
32.0782505569159,25.2104865308942
24.5198195006509,21.3165378236778
19.7771222670602,18.9127952453113
26.6383820133959,23.5726447442739
37.9360179536394,30.994596607807
33.8171227986074,21.5182077575649
34.5458962463781,26.8173849165425
26.2709630635715,28.6088894877126
25.2505852136499,12.3978320447623
21.235190398791,24.7552959695197
22.3144368762364,16.2636122250392
16.0885331585763,9.8383148137791
19.6703677874403,18.4241399024869
27.6287213956006,14.3520745755888
30.2167175848744,3.45057517977939
32.0993929859362,3.06130063036209
24.9077358013922,11.8939948503348
