pos245,pos585
187.920506429832,161.368105959087
181.377030194413,179.290155791366
164.97192176836,234.415939863675
175.600449842569,192.384605243485
210.50969115187,168.709988537564
158.404781743282,193.021706404357
193.056465374048,189.477778547062
147.517483574286,95.2222899971748
139.696984663482,109.917920706753
185.443302125691,114.947370574689
152.67411161033,143.222280137592
105.18638614422,114.113017647283
168.62088771592,143.11027502206
139.614713429065,162.933867122192
140.03542644404,159.605608732036
154.419750676081,158.660992230163
145.772682260922,135.950171652317
112.361821651117,117.701802146568
105.663962748537,127.159295368321
110.217358864957,161.650894812951
165.582326567299,167.852295778892
110.96480837443,170.79389718027
171.480165789862,133.618332132171
191.111748861069,135.691463278721
156.224539644114,143.664612160952
111.443269322088,161.793914450241
100.573887201828,154.43419112464
138.982533744591,190.533668702205
105.866608760713,124.229455735958
112.247214253164,145.127108139192
118.47536646502,174.757337818784
106.454314518807,138.761956897512
126.826331042955,138.133013416553
199.254725730723,144.55761508418
139.068508072021,139.32222054161
121.689678453273,106.728378600377
123.564512654607,131.538189482224
60.6631961184856,130.102585799288
127.056148108026,145.140529320904
166.94690960131,161.665145966928
128.508801140037,141.222790085896
98.1244390754934,114.46749087377
123.49351579385,101.764170099566
111.476257851637,175.610995580823
108.275638830166,132.36236896135
83.4127027223921,113.441462323188
133.10246034036,130.139402167539
103.372455241608,99.9724174901865
44.4998810190007,124.247963209527
62.2064975183018,131.921805229099
94.003478799857,112.243623415803
136.876089284764,118.836602006812
136.478756751951,91.2683099886563
83.2942237540656,160.97359841167
59.0882853895514,136.480429438067
40.1195045150451,111.510660545921
95.5794199520946,124.153446399857
126.472245943564,87.3293981329882
105.969075926734,58.0696452187423
90.2656689496794,56.4953701052277
105.7645755205,22.5192432447449
98.1297691721947,90.8093723864851
61.3880839036357,114.504044397426
101.018748061137,109.422557218253
137.03476343511,66.4931480588606
102.77235682608,60.7625385118955
96.7707599230438,58.7971971474319
98.5638604829975,88.3305038871031
152.152158585728,134.854573070443
133.998135717885,69.0806892917314
135.354757623007,116.725870637055
62.9647408034078,113.931566669499
80.9474683495939,28.4222356191101
83.9221997685165,106.383773378172
104.728263240242,68.7134131609679
60.3855133813364,64.1413872262624
57.7688156264107,100.65450354419
95.3507921335883,66.6648907604857
121.50337972572,36.9353349222737
138.491702589536,51.1784186160196
97.9000018363615,91.6880631731915
